1786070781| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070782| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070783| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070784| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070785| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070786| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070787| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070788| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070789| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070790| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070791| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070792| level: 88| voltage: 4232| temperature: 316| current now: -2454687| charge counter: 4388175|
1786070793| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070795| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070796| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070797| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070798| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070799| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070800| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070801| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070802| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070803| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070804| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070805| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070806| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070807| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070808| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070809| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070810| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070811| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070812| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070813| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070814| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070815| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070817| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070818| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070819| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070820| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070821| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070822| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070823| level: 88| voltage: 4287| temperature: 322| current now: -271093| charge counter: 4368475|
1786070824| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070825| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070826| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070827| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070828| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070829| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070830| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070831| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070832| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070833| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070834| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070835| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070837| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070838| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070839| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070840| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070841| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
1786070842| level: 88| voltage: 4292| temperature: 321| current now: -278906| charge counter: 4363550|
